,candidate_campaign_links
90,https://www.instagram.com/docshelby2022/
91,https://www.facebook.com/Shelby.Exploratory.23
92,candidate-Sandeep Srivastava
93,http://sandeepfortexas.com/
94,https://www.facebook.com/sandeepfortexas/
95,https://www.twitter.com/sandeepfortexas
96,https://www.facebook.com/sandeep.srivastava.18
97,https://www.linkedin.com/in/sandeep-srivastava-90777449/
98,candidate-Van Taylor
99,https://vantaylor.house.gov/
100,https://www.facebook.com/RepVanTaylor
101,https://www.twitter.com/RepVanTaylor
102,https://www.instagram.com/repvantaylor/
103,https://www.youtube.com/channel/UCIzNiuBisXW6jScW_OuW1Kg
104,https://www.vantaylor.com/
105,https://www.facebook.com/VanForTexas
106,https://www.twitter.com/VanTaylorTX
107,https://www.instagram.com/vantaylortx/
108,https://www.linkedin.com/in/repvantaylor/
109,candidate-Suzanne Cassimatis Harp
110,https://www.suzanneforcongress.com
111,https://www.facebook.com/RealSuzanneHarp
112,https://www.twitter.com/RealSuzanneHarp
113,https://www.instagram.com/realsuzanneharp/
114,https://www.facebook.com/suzanne.c.harp
115,https://www.linkedin.com/in/suzanne-harp/
116,candidate-Jeremy Ivanovskis
117,https://ivanovskisforuscongress.com/
118,https://www.facebook.com/profile.php?id=100077292336330
119,candidate-Keith Self
120,https://ballotpedia.org/Help:Report_an_error
121,https://keithself.com/
122,https://www.facebook.com/KeithSelfTX
123,https://www.twitter.com/selfforcongress
124,https://www.instagram.com/keithselfforcongress_/
125,https://www.facebook.com/keith.self.94
126,https://www.youtube.com/user/KeithSelf2010/
127,https://www.linkedin.com/in/keith-self-06b55518/
128,candidate-Rickey Williams
129,https://www.rickey4congress.com/
130,https://www.facebook.com/rickey4congress
131,https://www.twitter.com/rickey4congress
132,https://www.instagram.com/rickey4congress/
133,candidate-Christopher Claytor
134,https://www.facebook.com/christopher.claytor
135,https://www.linkedin.com/in/christopherclaytor
136,candidate-Iroghama Omere
137,https://www.omereforcongress.com/
138,https://www.twitter.com/IroghamaTX
139,candidate-Earl Davis
140,https://www.facebook.com/earlw.davisii.1
141,candidate-Pat Fallon
142,https://fallon.house.gov/
143,https://www.facebook.com/RepPatFallon
144,https://www.twitter.com/RepPatFallon
145,https://www.instagram.com/reppatfallon/
146,https://www.youtube.com/c/RepPatFallon
147,https://www.fallonforcongress.com/
148,https://www.facebook.com/fallonfortexas
149,https://www.twitter.com/FallonForTexas
150,https://www.youtube.com/channel/UCQiw1cF0LqYoxuvWrE-Ckig/featured
151,https://www.facebook.com/patrick.fallon.792
152,https://www.linkedin.com/in/patrick-fallon-09261b63/
153,candidate-John Harper
154,https://johnharperforcongress.com/
155,https://www.facebook.com/JohnHarperForCongress/
156,candidate-Dan Thomas
157,https://www.danthomasforcongress.com/
158,https://www.facebook.com/DanNewsMan12
159,https://www.twitter.com/DanNewsMan
160,https://www.instagram.com/danthomasforcongress
161,https://www.facebook.com/NewsmanDan
162,https://www.youtube.com/channel/UCIKucbTVnhzSr2Wqy5LIyFA
163,candidate-John Simmons
164,https://www.twitter.com/CongressRancher
165,https://www.instagram.com/Johnsimmonsforcongress/
166,candidate-Kathleen Bailey
167,https://www.baileyfortexas.com/home
168,https://www.facebook.com/kcbailey2022
169,https://www.twitter.com/KCBailey2022
170,candidate-Tartisha Hill
171,https://www.twitter.com/TartishaHill
172,https://www.facebook.com/tartishah
173,https://www.twitter.com/TartishaH
174,https://www.linkedin.com/in/tartisha-hill-67215828/
175,candidate-Charles Gearing
176,https://www.gearingfortexas.com/
177,https://www.facebook.com/GearingforTexas
178,https://www.twitter.com/GearingforTexas
179,https://www.instagram.com/gearingfortexas/
180,https://www.youtube.com/channel/UCgtV3nMJ2SnMS8PHnRztD0g
181,https://www.linkedin.com/in/charles-m-gearing-7330651/
182,candidate-Lance Gooden
183,https://gooden.house.gov/
184,https://www.youtube.com/channel/UCaEs0pYlL_1cLlPBHfl0RIg
185,http://lancegooden.com/
186,https://www.facebook.com/lancegoodenfortexas
187,https://www.twitter.com/Lancegooden
188,https://www.instagram.com/lancegooden/
189,https://www.facebook.com/lancegooden
190,candidate-Kevin Hale
191,candidate-Jake Ellzey
192,https://ellzey.house.gov/
193,https://www.facebook.com/RepJakeEllzey
194,https://www.twitter.com/RepEllzey
195,https://www.ellzeyfortexas.com/
196,https://www.facebook.com/CommanderEllzey
197,https://www.twitter.com/JakeEllzey
198,https://www.instagram.com/commanderellzey
199,https://www.youtube.com/channel/UCbzpzYhmgoFnqFr4a5ai56A
200,https://www.facebook.com/jake.ellzey.733
201,https://www.linkedin.com/in/jake-ellzey-0a253138/
202,candidate-James Buford
203,https://votebuford4congress.com
204,https://www.facebook.com/buford4congress
205,https://www.twitter.com/jamesbu74790136
206,https://www.instagram.com/buford4congress
207,https://www.linkedin.com/in/james-buford-8b604921b
208,candidate-Bill Payne
209,candidate-Bill Payne
210,candidate-Lizzie Pannill Fletcher
211,https://fletcher.house.gov/
212,https://www.facebook.com/RepFletcher/
213,https://www.twitter.com/RepFletcher
214,https://www.instagram.com/repfletcher/
215,https://www.youtube.com/channel/UCIWDLoDPvawP118TNWi-9rg
216,https://lizziefletcher.com/
217,https://www.facebook.com/LizzieForCongress
218,https://www.twitter.com/lizzie4congress
219,https://www.instagram.com/lizzieforcongress/
220,https://www.youtube.com/channel/UCb1_n8fVrDWDOqQXjFhCCNw
221,https://www.facebook.com/lizzie.pannillfletcher/
222,https://www.linkedin.com/in/elizabeth-fletcher-a6a7738/
223,candidate-Rudy Atencio
224,https://www.americansforpeace.us/
225,https://www.facebook.com/americans2022
226,https://www.twitter.com/rudy_atencio
227,https://www.instagram.com/americans2022/
228,https://www.youtube.com/channel/UCshvMO2idGdOuU7TbxP4nQw
229,https://www.facebook.com/americansforpeace
230,https://www.linkedin.com/in/rudy-a-atencio-161791177/
231,candidate-Tina Blum Cohen
232,https://www.tinablumcohen.com/
233,https://www.facebook.com/tinafortexas
234,https://www.twitter.com/tinacohen18
235,https://www.facebook.com/tb.cohen
236,https://www.linkedin.com/in/tina-cohen-776b3020/
237,candidate-Benson Gitau
238,https://www.bensongitau.com
239,https://www.facebook.com/ibensongitau
240,https://www.twitter.com/ibensongitau
241,https://www.instagram.com/ibensongitau
242,https://www.youtube.com/channel/UCUMWAUYZVtLxYRq3Lsm8JVA
243,candidate-Laique Rehman
244,http://www.laiquerehman.com/index.html
245,https://www.facebook.com/laiquerehmanforcongress1/
246,https://www.twitter.com/LaiqueRehman1
247,https://www.instagram.com/laique.rehman
248,https://www.linkedin.com/in/laique-rehman-40132521/
249,candidate-Lance Stewart
250,https://lance4tx.com
251,https://www.facebook.com/Lance-Stewart-104490375168018
252,https://www.twitter.com/Lance4TX
253,https://www.linkedin.com/in/lance-stewart-4529121b/
254,candidate-Tim Stroud
255,https://stroudforcongress.com/
256,https://www.facebook.com/TimStroudForCongress/
257,https://www.youtube.com/channel/UCaDtLj6D3SSKMxR4TxDuzLQ
258,https://www.facebook.com/timthearmymedic
259,https://www.twitter.com/timthearmymedic
260,https://www.linkedin.com/in/stroudmarketing/
261,candidate-Johnny Teague
262,https://www.checkjohnnyforcongress.org
263,https://www.facebook.com/CheckJohnnyTeague/
264,https://www.twitter.com/for_teague
265,https://www.facebook.com/johnny.teague
266,https://www.youtube.com/channel/UCpV-5G9sAzhgRrJw5DRvv9w
267,https://www.linkedin.com/in/dr-johnny-teague-76289a80/
268,candidate-Jafar Hajjar
269,candidate-Laura Jones
270,https://laurajonesforcongress.com/
271,https://www.facebook.com/LauraJonesforCongress
272,https://www.twitter.com/CongressLaura
273,https://www.instagram.com/LauraJonesforCongress/
274,https://www.facebook.com/laurajones.yoga.5
275,https://www.linkedin.com/in/laura-jones-a77889b3/
276,candidate-Betsy Bates
277,https://www.betsybatescongress2022.com
278,https://www.facebook.com/people/Betsy-Bates/100068817076358/
279,https://www.twitter.com/MAGABetsy
280,candidate-Candice C. Burrows
281,https://candicecburrows.com/
282,candidate-Christian Collins
283,https://www.christiancollins.org
284,https://www.facebook.com/christiancollinstx/
285,https://www.twitter.com/collinsfortx
286,https://www.instagram.com/christiancollinstx/
287,https://www.youtube.com/channel/UC0ZuhuSqcguzkBuIXdXk37A
288,https://www.facebook.com/Christian.S.Collins
289,https://www.linkedin.com/in/christiancollins7/
290,candidate-Jonathan Hullihan
291,https://www.hullihanfortexas.com/
292,https://www.facebook.com/JHullihanTX/
293,https://www.twitter.com/jhullihantx
294,https://www.instagram.com/jhullihantx/
295,candidate-Morgan Luttrell
296,https://www.morganluttrell.com/
297,https://www.facebook.com/MLuttrellTX
298,https://www.twitter.com/MLuttrellTX
299,https://www.instagram.com/mojoluttrell/
300,https://www.youtube.com/channel/UCfVZpKoKjsB6l5wF9AF96wg
301,https://www.linkedin.com/in/morgan-luttrell-169623195/
302,candidate-Dan McKaughan
303,https://danmckaughan.com/
304,https://www.facebook.com/DanMcKaughanTX/
305,https://www.twitter.com/DanMcKaughanTX
306,https://www.instagram.com/DanMcKaughanTX/
307,candidate-Jonathan Mitchell
308,https://www.jonathanmitchellforcongress.com/
309,https://www.facebook.com/Jonathan-Mitchell-for-Congress-103071841922918
310,https://www.twitter.com/JMitchellforTX
311,candidate-Chuck Montgomery
312,https://www.facebook.com/chuckmontgomeryforcongress
313,candidate-Mike Philips
314,http://www.meetmikephilips.com/
315,https://www.twitter.com/Meetmikephilips
316,https://www.instagram.com/Meetmikephilips
317,candidate-Jessica Wellington
318,https://jessicawellingtonforcongress.com
319,https://www.facebook.com/jessicawellingtontx
320,https://www.twitter.com/jwellingtontx
321,https://www.instagram.com/jessicawellingtontx
322,https://www.linkedin.com/in/jessica-wellington-573a7623/
323,candidate-Jessica Wellington
324,https://jessicawellingtonforcongress.com
325,https://www.facebook.com/jessicawellingtontx
326,https://www.twitter.com/jwellingtontx
327,https://www.instagram.com/jessicawellingtontx
328,https://www.linkedin.com/in/jessica-wellington-573a7623/
329,candidate-Taylor Whichard
330,https://www.taylorwhichardforcongress.com
331,https://www.facebook.com/taylorwhichardforcongress/
332,https://www.twitter.com/WhichardIv
333,https://www.instagram.com/tm.whichardiv/
334,https://www.linkedin.com/in/taylor-whichard-7117a846/
335,candidate-Salvador Gallegos
336,candidate-Ryan Jarchow
337,https://jarchowcampaign.com/
338,https://www.twitter.com/jarchowcampaign
339,https://www.youtube.com/channel/UCTwmiWvMtGdSXS8cttcJJfg
340,candidate-Adrian Kaiser
341,https://adriankaiser.com/
342,https://www.facebook.com/Kaiser4congress/
343,candidate-Christopher Revis
344,candidate-Roy Eriksen
345,https://www.facebook.com/roy.eriksen.16
346,https://www.linkedin.com/in/reriksen/
347,candidate-Randall Addison
348,candidate-Al Green
349,https://ballotpedia.org/Help:Report_an_error
350,https://algreen.house.gov/
351,https://www.facebook.com/repalgreen/
352,https://www.twitter.com/RepAlGreen
353,https://www.instagram.com/repalgreen/
354,https://www.youtube.com/user/RepAlGreen
355,https://algreen.org/
356,https://www.twitter.com/RepAlGreenTX
357,candidate-Jimmy Leon
358,candidate-Linda Nuno
359,https://lindanunoforcongress.com/
360,https://www.facebook.com/Lindanuno777
361,https://www.instagram.com/linda_nuno_for_congress/
362,https://www.facebook.com/PINKAIRPLANE18
363,https://www.twitter.com/LindaNuno7
364,https://www.youtube.com/channel/UCKGl31jrWboR_tzQuYWXzXQ
365,candidate-Larry Wallace Jr.
366,https://wallaceforcongress.com/
367,https://www.facebook.com/MayorDrWallaceJr
368,https://www.twitter.com/DrLarryWallace1
369,https://www.instagram.com/larrywallacejr/
370,https://www.youtube.com/channel/UC1ZAokqQ4c2BQV8IdxJnQBQ
371,https://www.facebook.com/drlarrywallacejr
372,https://www.linkedin.com/in/larrywallacejr/
373,candidate-Michael McCaul
374,https://mccaul.house.gov/
375,https://www.facebook.com/michaeltmccaul/
376,https://www.twitter.com/RepMcCaul
377,https://www.instagram.com/congressman_mccaul/
378,https://www.youtube.com/user/MichaelTMcCaul
379,https://michaelmccaul.com/
380,https://www.facebook.com/MichaelMcCaulTX
381,https://www.twitter.com/McCaulforTexas
382,https://www.youtube.com/channel/UCFTcskOT4na97M00Vpu_oZw
383,candidate-Bill Kelsey
384,https://www.facebook.com/bill.kelsey.5817
385,candidate-August Pfluger
386,https://pfluger.house.gov/
387,https://www.facebook.com/RepAugustPfluger/
388,https://www.twitter.com/RepPfluger
389,https://www.instagram.com/RepAugustPfluger/
390,https://www.youtube.com/channel/UC8bJT16wpa7co50ELvpMTTg
391,https://www.augustpfluger.com/
392,https://www.facebook.com/AugustPflugerTX
393,https://www.twitter.com/AugustPfluger
394,https://www.instagram.com/augustpflugertx/
395,https://www.linkedin.com/in/august-pfluger-23240577
396,candidate-Trey Hunt
397,https://treyhuntcongress.com
398,https://www.facebook.com/VoteHunt2022
399,https://www.twitter.com/VoteHunt2022
400,https://www.instagram.com/votehunt2022/
401,https://www.youtube.com/channel/UC2A87ZiAlVa5tAByX-NGPQg
402,https://www.facebook.com/TreyJHunt
403,https://www.linkedin.com/in/trey-hunt-0a87831aa/
404,candidate-Kay Granger
405,https://ballotpedia.org/Help:Report_an_error
406,https://kaygranger.house.gov/
407,https://www.facebook.com/RepKayGranger
408,https://www.twitter.com/RepKayGranger
409,https://www.instagram.com/repkaygranger/
410,https://www.youtube.com/c/RepKayGranger
411,https://kaygranger.com/
412,https://www.facebook.com/KayGrangerCampaign/
413,https://www.twitter.com/GrangerCampaign
414,candidate-Ryan Catala
415,https://ryanjcatala.com/
416,https://www.twitter.com/Catala4Congress
417,https://www.instagram.com/Catala4Congress
418,https://www.facebook.com/profile.php?id=100058913288479
419,https://www.twitter.com/ryanjcatala
420,candidate-Alysia Rieg
421,https://alysiarieg.com
422,https://www.facebook.com/athletealysiarieg
423,https://www.instagram.com/ay_lee_see_yuh
424,https://www.facebook.com/alysia.rieg
425,https://www.twitter.com/alysiarieg
426,https://www.linkedin.com/in/alysiarieg/
427,candidate-Chris Putnam
428,https://putnamfortexas.com/
429,https://www.facebook.com/putnamfortexas/
430,https://www.twitter.com/putnamfortexas
431,https://www.linkedin.com/in/chris-putnam-543b6/
432,candidate-Chris Rector
433,https://rectorfortexas97.com
434,https://www.twitter.com/cdrectorauthor
435,https://www.instagram.com/rector4texas
436,candidate-Kathleen Brown
437,https://www.kathleenfortx.com
438,https://www.facebook.com/KathleenForTx13
439,https://www.twitter.com/Kat4District13
440,https://www.youtube.com/channel/UCd1YzFPDnOR4Je0MgUqx6Rg
441,candidate-Ronny L. Jackson
442,https://jackson.house.gov/
443,https://www.facebook.com/RepRonnyJackson/
444,https://www.twitter.com/RepRonnyJackson
445,https://www.instagram.com/RepRonnyJackson/
446,https://www.youtube.com/channel/UCXhohNmrQ0R-c-5Nv2VfD9g
447,https://ronnyjacksontx.com/
448,https://www.facebook.com/RonnyJacksonTX
449,https://www.twitter.com/RonnyJacksonTX
450,https://www.facebook.com/ronny.jackson.568089
451,https://www.linkedin.com/in/ronny-l-jackson/
452,candidate-Eugene Howard
453,https://howard-2-congress.org/
454,https://www.facebook.com/PresidenHoward
455,https://www.twitter.com/VisionaryHoward
456,https://www.instagram.com/visionaryhoward
457,https://www.youtube.com/channel/UCMtrqJ3Kaw50cgN-utczIuw
458,https://www.linkedin.com/in/eugene-howard-ba5324170/
459,candidate-Mikal Williams
460,https://www.electmikalwilliams.com/
461,https://www.facebook.com/mikaldwilliams2022/
462,https://www.twitter.com/MikalDWilliams
463,https://www.instagram.com/mikaldwilliams/
464,https://www.facebook.com/mikal.williams.921
465,https://www.linkedin.com/in/mikal-d-williams-0129a87/
466,candidate-Jeff Antonelli
467,http://antonelli2022.com/
468,https://www.facebook.com/Jeff-Antonelli-for-TX-House-District-23-103359801449150
469,https://www.facebook.com/jeff.antonelli
470,candidate-Cyrus Sajna
471,https://www.facebook.com/cyrus.sajna
472,https://www.youtube.com/channel/UCQzBuLSO13YUqGmXTQZMKKg/
473,https://www.linkedin.com/in/cyrussajna/
474,candidate-Randy Weber
475,https://weber.house.gov/
476,https://www.facebook.com/TXRandy14/
477,https://www.twitter.com/TXRandy14
478,https://www.instagram.com/TXRandy14/
479,https://www.youtube.com/TXRandy14
480,https://randyweber.org/
481,https://www.facebook.com/WeberForTexas
482,https://www.facebook.com/randy.weber.1675
483,candidate-Randy Weber
484,https://weber.house.gov/
485,https://www.facebook.com/TXRandy14/
486,https://www.twitter.com/TXRandy14
487,https://www.instagram.com/TXRandy14/
488,https://www.youtube.com/TXRandy14
489,https://randyweber.org/
490,https://www.facebook.com/WeberForTexas
491,https://www.facebook.com/randy.weber.1675
492,candidate-Keith Casey
493,https://www.facebook.com/keith.casey.127
494,candidate-Ruben Landon Dante
495,https://www.rldforcongress.com/
496,https://www.facebook.com/RubenLandonDante/
497,https://www.twitter.com/RubenLDante
498,https://www.instagram.com/RubenLDante/
499,https://www.facebook.com/RubenLDante
500,https://www.youtube.com/channel/UCYG1WlXXgNaYYNyQ1cV804w
501,https://www.linkedin.com/in/rubendante/
502,candidate-Gina Smith
503,https://www.drginasmith.com/
504,https://www.facebook.com/Dr-Gina-Smith-100849645477947
505,https://www.twitter.com/drgina_smith
506,https://www.instagram.com/realginasmith2022/
507,candidate-Eliza Alvarado
508,https://alvaradoforcongress.com/
509,https://www.facebook.com/Eliza-Alvarado-for-Congress-106381151840888/
510,https://www.facebook.com/eliza.alvarado
511,https://www.linkedin.com/in/eliza-alvarado-133b1388/
512,candidate-Julio Garza
513,https://juliogarzaforcongress.com/
514,https://www.facebook.com/Julio-Garza-for-Congress-100101779182048/
515,https://www.twitter.com/Garzafor15
516,https://www.instagram.com/juliogarzaforcongress/
517,https://www.facebook.com/profile.php?id=100075343805997
518,candidate-Ruben Ramirez
519,https://voteruben.com/
520,https://www.facebook.com/Ruben-Ramirez-for-Congress-100963232386119/
521,candidate-Vanessa Tijerina
522,https://www.facebook.com/votetijerina2016
523,https://www.facebook.com/vanessa.s.tijerina
524,candidate-Michelle Vallejo
525,https://michellefortx15.com/home/
526,https://www.facebook.com/michellevfortx
527,https://www.twitter.com/MichelleVforTX
528,https://www.instagram.com/michellevfortx/
529,https://www.youtube.com/channel/UC2iOQwxr_HfaZGZde__QGug
530,candidate-John Villarreal Rigney
531,https://www.villarrealrigneyforcongress.com
532,https://www.facebook.com/Rigney2022
533,https://www.twitter.com/RigneyTeam
534,https://www.youtube.com/channel/UCmeFXyrLnLZaQ4ZGXljj-BA
535,https://www.facebook.com/john.rigney.52
536,candidate-Roberto Haddad
537,https://www.linkedin.com/in/roberto-haddad-73a20436/
538,candidate-Jose Aizar Cavazos
539,https://www.aizarcavazosforcongress.com/
540,https://www.facebook.com/Aizar-Cavazos-for-Congress-109197278211860/
541,https://www.twitter.com/AizarCavazosTX
542,candidate-Sara Canady
543,https://canadyforcongress.com
544,https://www.facebook.com/Judge-Sara-Canady-for-US-Congress-District-15-103426368856651
545,https://www.twitter.com/Canady4Congress
546,https://www.linkedin.com/in/sara-canady-0a902830/
547,candidate-Vangela Churchill
548,https://www.churchillforcongress.com/
549,https://www.facebook.com/vangelaforcongress/
550,https://www.twitter.com/ForChurchill
551,https://www.instagram.com/vangelaforcongress
552,https://www.youtube.com/channel/UCkeiaXW54mpdraR9RrDzlcA/featured
553,https://www.facebook.com/vangelachurchillforcongress
554,https://www.linkedin.com/in/vangeladenney/
555,candidate-Monica De La Cruz Hernandez
556,https://www.monicaforcongress.us/
557,https://www.facebook.com/monicaforcongress/
558,https://www.twitter.com/monica4congress
559,https://www.instagram.com/monicaforcongress/
560,https://www.youtube.com/channel/UCrD8yy6HIWAQByMKuPWcGxQ
561,https://www.linkedin.com/in/monica-de-la-cruz-250978169/
562,candidate-Mauro Garza
563,https://maurogarzaforcongress.com/
564,https://www.facebook.com/MauroGarzaForCongress
565,https://www.instagram.com/mauro4texas/
566,https://www.youtube.com/channel/UCAu2tHmUur3BVQN1MdTFTXw
567,https://www.facebook.com/mauro.garza.3914
568,https://www.linkedin.com/in/maurogarza/
569,candidate-Angela Juarez
570,candidate-Ryan Krause
571,https://ryankrauseforcongress.com/
572,https://www.linkedin.com/in/krause4u/
573,candidate-John Lerma
574,candidate-Steve Schmuker Jr.
575,candidate-Ross Lynn Leone
576,https://www.facebook.com/ross.leone.96
577,candidate-Veronica Escobar
578,https://ballotpedia.org/Help:Report_an_error
579,https://escobar.house.gov/
580,https://www.facebook.com/RepEscobar/
581,https://www.twitter.com/RepEscobar
582,https://www.instagram.com/repescobar/
583,https://www.youtube.com/channel/UC46TX2P8K0CA_4gZv8_R2Og/
584,https://veronicaescobar.com/
585,https://www.facebook.com/VeronicaEscobarTX
586,https://www.twitter.com/vgescobar
587,https://www.instagram.com/veronicaescobartx/
588,candidate-Deliris Montanez Berrios
589,https://dmbforcongress.com/
590,https://www.facebook.com/DMBfor
591,https://www.twitter.com/dmbfor
592,https://www.instagram.com/dmbfor
593,https://www.youtube.com/channel/UCQPTp_n5MqwY7IwixEvmBmA
594,https://www.facebook.com/deliris.montanez/
595,https://www.linkedin.com/in/deliris-dee-montanez-26405333
596,candidate-Irene Armendariz-Jackson
597,https://irenearmendarizjackson.com/
598,https://www.facebook.com/ArmendarizforElPaso/
599,https://www.twitter.com/ArmendarizDis16
600,https://www.instagram.com/irene4congress/
601,https://www.facebook.com/Ireneajackson
602,https://www.twitter.com/amazingurl09
603,https://www.linkedin.com/in/irene-armendariz-jackson-ma-59b3a426/
604,candidate-Samuel Williams Jr.
605,https://samforep.com/
606,https://www.twitter.com/votesamuelwill1
607,https://www.facebook.com/profile.php?id=100007308886429&ref=br_rs
608,candidate-Mary Jo Woods
609,https://maryjowoodstx17.com/
610,https://www.facebook.com/MaryWoodsTX17
611,https://www.twitter.com/MaryJo_TX17
612,https://www.instagram.com/maryjotx17
613,candidate-Pete Sessions
614,https://sessions.house.gov/
615,https://www.facebook.com/petesessions
616,https://www.twitter.com/PeteSessions
617,https://www.youtube.com/channel/UCD-O0Y92UcMglKmoo7BHLsg
618,https://www.petesessions.com/
619,https://www.facebook.com/sessionsforcongress
620,https://www.twitter.com/SessionsTX17
621,https://www.linkedin.com/in/petesessions?
622,candidate-Paulette Carson
623,https://www.carson4congress.us/
624,https://www.facebook.com/Carson4Congress
625,https://www.twitter.com/Carson4Tx
626,https://www.facebook.com/carsoncp
627,https://www.linkedin.com/in/paulette-carson-25400945/
628,candidate-Jason Nelson
629,https://www.jasonnelsonforcongress.com/
630,https://www.facebook.com/Jason-Storm-Nelson-for-Congress-111374444732444/
631,https://www.twitter.com/Storm4Congress
632,candidate-Robert Rosenberger
633,https://www.linkedin.com/in/robertrosenberger/
634,candidate-Sheila Jackson Lee
635,https://ballotpedia.org/Help:Report_an_error
636,https://jacksonlee.house.gov/
637,https://www.facebook.com/CongresswomanSheilaJacksonLee/
638,https://www.twitter.com/JacksonLeeTX18
639,https://www.instagram.com/repjacksonlee/
640,https://www.youtube.com/user/RepJacksonLee
641,https://www.facebook.com/SheilaJacksonLeefor18
642,https://www.instagram.com/SheilaJacksonLee/
643,https://www.facebook.com/sheilajacksonlee18
644,https://www.linkedin.com/in/congresswomansheilajacksonlee/
645,candidate-Cassius Marcellous Evergreen
646,https://cassiusevergreen.com
647,https://www.twitter.com/CashForCongress
648,https://www.instagram.com/cashforcongress/
649,https://www.linkedin.com/in/cassius-evergreen/
650,candidate-Charles Thompson
651,https://ct4cd18.com/
652,candidate-Carmen Maria Montiel
653,https://carmenforcongress.com/
654,https://www.facebook.com/CarmenForCongress
655,https://www.twitter.com/Carmen4Congress
656,https://www.instagram.com/carmenforcongress/
657,https://www.carmenmaria.today/
658,https://www.facebook.com/carmen.ma.montiel
659,candidate-Scott Huckabee
660,https://www.twitter.com/ScottHuckabee2
661,candidate-Phil Kurtz
662,https://www.facebook.com/phil.kurtz.3
663,https://www.youtube.com/channel/UC9mEvVku2Mlre6FDGNbvvUQ/featured
664,https://www.linkedin.com/in/philip-kurtz-913006174/
665,candidate-Jodey Arrington
666,https://arrington.house.gov/
667,https://www.facebook.com/RepJodeyArrington
668,https://www.twitter.com/RepArrington
669,https://www.instagram.com/repjodeyarrington/
670,https://www.youtube.com/channel/UC3lif8TFPOe-tJ2-pE4Rp7Q
